"name","place","type","url","cabins","closed","covered","hbot","heated","hmid","horz","htop","incline","incmax","length","pillars","speed","time","trkwidth","vert"
"Pitots","Tignes","1-SL","https://lift-world.info/en/lifts/8739/datas.htm",,,,"1560 m",,,"?? m","1631 m","?? %","25 %","360 m","?? Stk","3,0 m/s","?? min",,"71 m"
"Paquis","Tignes","6-CLD","https://lift-world.info/en/lifts/220/datas.htm",,,,"2050 m",,,"?? m","2492 m","?? %","64 %","1610 m","15 Stk","5,0 m/s","5 min",,"442 m"
"Panoramic","Tignes","3-CLF","https://lift-world.info/en/lifts/4183/datas.htm",,,,"3003 m",,,"?? m","3027 m","9 %","18 %","266 m","1 Stk","1,5 m/s","?? min",,"24 m"
"Palafour 2","Tignes","3-CLF","https://lift-world.info/en/lifts/4127/datas.htm",,,,"2100 m",,,"?? m","2574 m","?? %","75 %","1330 m","?? Stk","2,3 m/s","?? min",,"474 m"
"Palafour 1","Tignes","3-CLF","https://lift-world.info/en/lifts/4126/datas.htm",,,,"2100 m",,,"?? m","2574 m","?? %","75 %","1330 m","?? Stk","2,3 m/s","?? min",,"474 m"
"Palafour","Tignes","6-CLD","https://lift-world.info/en/lifts/11296/datas.htm",,,,"2100 m",,,"?? m","2571 m","39 %","83 %","1319 m","15 Stk","5,0 m/s","5 min",,"471 m"
"Millonex 2","Tignes","1-SL","https://lift-world.info/en/lifts/8738/datas.htm",,,,"2100 m",,,"?? m","2161 m","?? %","31 %","274 m","?? Stk","3,0 m/s","?? min",,"61 m"
"Millonex 1","Tignes","1-SL","https://lift-world.info/en/lifts/8737/datas.htm",,,,"2100 m",,,"?? m","2182 m","?? %","31 %","328 m","?? Stk","3,0 m/s","?? min",,"82 m"
"Merles","Tignes","6-CLD","https://lift-world.info/en/lifts/5353/datas.htm",,,,"2390 m",,,"?? m","2676 m","23 %","96 %","1314 m","18 Stk","5,0 m/s","5,9 min",,"286 m"
"Merle Blanc","Tignes","3-CLF","https://lift-world.info/en/lifts/4168/datas.htm",,,,"2390 m",,,"?? m","2743 m","?? %","61 %","1540 m","15 Stk","2,3 m/s","?? min",,"353 m"
"Marais","Tignes","3-CLF","https://lift-world.info/en/lifts/4177/datas.htm",,,,"2160 m",,,"?? m","2725 m","?? %","75 %","2292 m","25 Stk","2,3 m/s","17 min",,"565 m"
"Les Lanches","Tignes","4-CLD/B","https://lift-world.info/en/lifts/4125/datas.htm",,,,"2110 m",,,"2444 m","2855 m","30,48 %","83 %","2555 m","27 Stk","5,0 m/s","10,5 min",,"745 m"
